# armor-combos.txt
#
# Vagrant Story armor combination tables
#
# Lines beginning with "--" identify item types
#
# It is possible for a different combination to result from swapped items.
# For example usually A + B = C but sometimes B + A = D
#
# Taken from Combination Guide
# Author:  Jay Tilton
# Email:  tiltonj@erols.com
# Copyright Jay Tilton, 2000

--Helm + Helm
# First Slot       |Second Slot        |Result              |(if different)      
# ================= ===================  ==================== ====================
Bandana            |Bandana            | Bandana            |
Wizard Hat         |Wizard Robe        | Wizard Hat         |
Wizard Hat         |Cuirass            | Cuirass            |
Wizard Hat         |Banded Mail        | Banded Mail        |
Wizard Hat         |Ring Mail          | Banded Mail        |
Wizard Hat         |Chain Mail         | Banded Mail        |
Wizard Hat         |Breastplate        | Banded Mail        |
Wizard Hat         |Segmentata         | Ring Mail          |
Wizard Hat         |Scale Armor        | Chain Mail         |
Wizard Hat         |Brigandine         | Breastplate        |
Wizard Hat         |Plate Mail         | Segmentata         |
Wizard Hat         |Fluted Armor       | Scale Armor        |
Wizard Hat         |Hoplite Armor      | Brigandine         |
Wizard Hat         |Jazeraint Armor    | Plate Mail         |
Wizard Hat         |Dread Armor        | Fluted Armor       |
Bone Helm          |Jerkin             | Bone Helm          |
Bone Helm          |Hauberk            | Bone Helm          |
Bone Helm          |Wizard Robe        | Bone Helm          |
Bone Helm          |Cuirass            | Cuisse             |
Bone Helm          |Banded Mail        | Banded Mail        |
Bone Helm          |Ring Mail          | Banded Mail        |
Bone Helm          |Chain Mail         | Banded Mail        |
Bone Helm          |Breastplate        | Banded Mail        |
Bone Helm          |Segmentata         | Ring Mail          |
Bone Helm          |Scale Armor        | Chain Mail         |
Bone Helm          |Brigandine         | Breastplate        |
Bone Helm          |Plate Mail         | Segmentata         |
Bone Helm          |Fluted Armor       | Scale Armor        |
Bone Helm          |Hoplite Armor      | Brigandine         |
Bone Helm          |Jazeraint Armor    | Plate Mail         |
Bone Helm          |Dread Armor        | Fluted Armor       |
Chain Coif         |Jerkin             | Bone Helm          |
Chain Coif         |Hauberk            | Bone Helm          |
Chain Coif         |Wizard Robe        | Bone Helm          |
Chain Coif         |Cuirass            | Bone Helm          |
Chain Coif         |Banded Mail        | Light Greave       |
Chain Coif         |Ring Mail          | Ring Mail          |
Chain Coif         |Chain Mail         | Ring Mail          |
Chain Coif         |Breastplate        | Ring Mail          |
Chain Coif         |Segmentata         | Ring Mail          |
Chain Coif         |Scale Armor        | Ring Mail          |
Chain Coif         |Brigandine         | Chain Mail         |
Chain Coif         |Plate Mail         | Breastplate        |
Chain Coif         |Fluted Armor       | Segmentata         |
Chain Coif         |Hoplite Armor      | Scale Armor        |
Chain Coif         |Jazeraint Armor    | Brigandine         |
Chain Coif         |Dread Armor        | Plate Mail         |
Spangenhelm        |Jerkin             | Bone Helm          |
Spangenhelm        |Hauberk            | Bone Helm          |
Spangenhelm        |Wizard Robe        | Bone Helm          |
Spangenhelm        |Cuirass            | Bone Helm          |
Spangenhelm        |Banded Mail        | Bone Helm          |
Spangenhelm        |Ring Mail          | Ring Leggings      |
Spangenhelm        |Chain Mail         | Chain Mail         |
Spangenhelm        |Breastplate        | Chain Mail         |
Spangenhelm        |Segmentata         | Chain Mail         |
Spangenhelm        |Scale Armor        | Chain Mail         |
Spangenhelm        |Brigandine         | Chain Mail         |
Spangenhelm        |Plate Mail         | Chain Mail         |
Spangenhelm        |Fluted Armor       | Breastplate        |
Spangenhelm        |Hoplite Armor      | Segmentata         |
Spangenhelm        |Jazeraint Armor    | Scale Armor        |
Spangenhelm        |Dread Armor        | Brigandine         |
Cabasset           |Jerkin             | Bone Helm          |
Cabasset           |Hauberk            | Bone Helm          |
Cabasset           |Wizard Robe        | Bone Helm          |
Cabasset           |Cuirass            | Bone Helm          |
Cabasset           |Banded Mail        | Bone Helm          |
Cabasset           |Ring Mail          | Chain Coif         |
Cabasset           |Chain Mail         | Chain Leggings     |
Cabasset           |Breastplate        | Breastplate        |
Cabasset           |Segmentata         | Breastplate        |
Cabasset           |Scale Armor        | Breastplate        |
Cabasset           |Brigandine         | Breastplate        |
Cabasset           |Plate Mail         | Breastplate        |
Cabasset           |Fluted Armor       | Breastplate        |
Cabasset           |Hoplite Armor      | Breastplate        |
Cabasset           |Jazeraint Armor    | Segmentata         |
Cabasset           |Dread Armor        | Scale Armor        |
Sallet             |Jerkin             | Chain Coif         |
Sallet             |Hauberk            | Chain Coif         |
Sallet             |Wizard Robe        | Chain Coif         |
Sallet             |Cuirass            | Chain Coif         |
Sallet             |Banded Mail        | Chain Coif         |
Sallet             |Ring Mail          | Chain Coif         |
Sallet             |Chain Mail         | Spangenhelm        |
Sallet             |Breastplate        | Fusskampf          |
Sallet             |Segmentata         | Segmentata         |
Sallet             |Scale Armor        | Segmentata         |
Sallet             |Brigandine         | Segmentata         |
Sallet             |Plate Mail         | Segmentata         |
Sallet             |Fluted Armor       | Segmentata         |
Sallet             |Hoplite Armor      | Segmentata         |
Sallet             |Jazeraint Armor    | Segmentata         |
Sallet             |Dread Armor        | Segmentata         |
Barbut             |Jerkin             | Spangenhelm        |
Barbut             |Hauberk            | Spangenhelm        |
Barbut             |Wizard Robe        | Spangenhelm        |
Barbut             |Cuirass            | Spangenhelm        |
Barbut             |Banded Mail        | Spangenhelm        |
Barbut             |Ring Mail          | Chain Coif         |
Barbut             |Chain Mail         | Spangenhelm        |
Barbut             |Breastplate        | Cabasset           |
Barbut             |Segmentata         | Poleyn             |
Barbut             |Scale Armor        | Segmentata         | Scale Armor
Barbut             |Brigandine         | Scale Armor        |
Barbut             |Plate Mail         | Scale Armor        |
Barbut             |Fluted Armor       | Scale Armor        |
Barbut             |Hoplite Armor      | Scale Armor        |
Barbut             |Jazeraint Armor    | Scale Armor        |
Barbut             |Dread Armor        | Scale Armor        |
Basinet            |Jerkin             | Cabasset           |
Basinet            |Hauberk            | Cabasset           |
Basinet            |Wizard Robe        | Cabasset           |
Basinet            |Cuirass            | Cabasset           |
Basinet            |Banded Mail        | Cabasset           |
Basinet            |Ring Mail          | Spangenhelm        |
Basinet            |Chain Mail         | Spangenhelm        |
Basinet            |Breastplate        | Cabasset           |
Basinet            |Segmentata         | Sallet             |
Basinet            |Scale Armor        | Jambeau            |
Basinet            |Brigandine         | Scale Armor        | Brigandine
Basinet            |Plate Mail         | Brigandine         |
Basinet            |Fluted Armor       | Brigandine         |
Basinet            |Hoplite Armor      | Brigandine         |
Basinet            |Jazeraint Armor    | Brigandine         |
Basinet            |Dread Armor        | Brigandine         |
Armet              |Jerkin             | Sallet             |
Armet              |Hauberk            | Sallet             |
Armet              |Wizard Robe        | Sallet             |
Armet              |Cuirass            | Sallet             |
Armet              |Banded Mail        | Sallet             |
Armet              |Ring Mail          | Cabasset           |
Armet              |Chain Mail         | Spangenhelm        |
Armet              |Breastplate        | Cabasset           |
Armet              |Segmentata         | Sallet             |
Armet              |Scale Armor        | Barbut             |
Armet              |Brigandine         | Missaglia          |
Armet              |Plate Mail         | Brigandine         | Plate Mail
Armet              |Fluted Armor       | Plate Mail         |
Armet              |Hoplite Armor      | Plate Mail         |
Armet              |Jazeraint Armor    | Plate Mail         |
Armet              |Dread Armor        | Plate Mail         |
Close Helm         |Jerkin             | Barbut             |
Close Helm         |Hauberk            | Barbut             |
Close Helm         |Wizard Robe        | Barbut             |
Close Helm         |Cuirass            | Barbut             |
Close Helm         |Banded Mail        | Barbut             |
Close Helm         |Ring Mail          | Sallet             |
Close Helm         |Chain Mail         | Cabasset           |
Close Helm         |Breastplate        | Cabasset           |
Close Helm         |Segmentata         | Sallet             |
Close Helm         |Scale Armor        | Barbut             |
Close Helm         |Brigandine         | Basinet            |
Close Helm         |Plate Mail         | Plate Leggings     |
Close Helm         |Fluted Armor       | Plate Mail         | Fluted Armor
Close Helm         |Hoplite Armor      | Fluted Armor       |
Close Helm         |Jazeraint Armor    | Fluted Armor       |
Close Helm         |Dread Armor        | Fluted Armor       |
Burgonet           |Jerkin             | Basinet            |
Burgonet           |Hauberk            | Basinet            |
Burgonet           |Wizard Robe        | Basinet            |
Burgonet           |Cuirass            | Basinet            |
Burgonet           |Banded Mail        | Basinet            |
Burgonet           |Ring Mail          | Barbut             |
Burgonet           |Chain Mail         | Sallet             |
Burgonet           |Breastplate        | Cabasset           |
Burgonet           |Segmentata         | Sallet             |
Burgonet           |Scale Armor        | Barbut             |
Burgonet           |Brigandine         | Basinet            |
Burgonet           |Plate Mail         | Armet              |
Burgonet           |Fluted Armor       | Fluted Leggings    |
Burgonet           |Hoplite Armor      | Fluted Armor       | Hoplite Armor
Burgonet           |Jazeraint Armor    | Hoplite Armor      |
Burgonet           |Dread Armor        | Hoplite Armor      |
Hoplite Helm       |Jerkin             | Armet              |
Hoplite Helm       |Hauberk            | Armet              |
Hoplite Helm       |Wizard Robe        | Armet              |
Hoplite Helm       |Cuirass            | Armet              |
Hoplite Helm       |Banded Mail        | Armet              |
Hoplite Helm       |Ring Mail          | Basinet            |
Hoplite Helm       |Chain Mail         | Barbut             |
Hoplite Helm       |Breastplate        | Sallet             |
Hoplite Helm       |Segmentata         | Sallet             |
Hoplite Helm       |Scale Armor        | Barbut             |
Hoplite Helm       |Brigandine         | Basinet            |
Hoplite Helm       |Plate Mail         | Armet              |
Hoplite Helm       |Fluted Armor       | Close Helm         |
Hoplite Helm       |Hoplite Armor      | Hoplite Leggings   |
Hoplite Helm       |Jazeraint Armor    | Jazeraint Armor    |
Hoplite Helm       |Dread Armor        | Jazeraint Armor    |
Jazeraint Helm     |Jerkin             | Close Helm         |
Jazeraint Helm     |Hauberk            | Close Helm         |
Jazeraint Helm     |Wizard Robe        | Close Helm         |
Jazeraint Helm     |Cuirass            | Close Helm         |
Jazeraint Helm     |Banded Mail        | Close Helm         |
Jazeraint Helm     |Ring Mail          | Armet              |
Jazeraint Helm     |Chain Mail         | Basinet            |
Jazeraint Helm     |Breastplate        | Barbut             |
Jazeraint Helm     |Segmentata         | Sallet             |
Jazeraint Helm     |Scale Armor        | Barbut             |
Jazeraint Helm     |Brigandine         | Basinet            |
Jazeraint Helm     |Plate Mail         | Armet              |
Jazeraint Helm     |Fluted Armor       | Close Helm         |
Jazeraint Helm     |Hoplite Armor      | Burgonet           |
Jazeraint Helm     |Jazeraint Armor    | Jazeraint Leggings |
Jazeraint Helm     |Dread Armor        | Dread Armor        |
Dread Helm         |Jerkin             | Burgonet           |
Dread Helm         |Hauberk            | Burgonet           |
Dread Helm         |Wizard Robe        | Burgonet           |
Dread Helm         |Cuirass            | Burgonet           |
Dread Helm         |Banded Mail        | Burgonet           |
Dread Helm         |Ring Mail          | Close Helm         |
Dread Helm         |Chain Mail         | Armet              |
Dread Helm         |Breastplate        | Basinet            |
Dread Helm         |Segmentata         | Barbut             |
Dread Helm         |Scale Armor        | Barbut             |
Dread Helm         |Brigandine         | Basinet            |
Dread Helm         |Plate Mail         | Armet              |
Dread Helm         |Fluted Armor       | Close Helm         |
Dread Helm         |Hoplite Armor      | Burgonet           |
Dread Helm         |Jazeraint Armor    | Hoplite Helm       |
Dread Helm         |Dread Armor        | Dread Leggings     |

--Helm + Leg
# First Slot       |Second Slot        |Result              |(if different)      
# ================= ===================  ==================== ====================
Bandana            |Sandals            | Sandals            |
Bandana            |Boots              | Boots              |
Bandana            |Long Boots         | Long Boots         |
Bandana            |Cuisse             | Cuisse             |
Bandana            |Light Greave       | Cuisse             |
Bandana            |Ring Leggings      | Cuisse             |
Bandana            |Chain Leggings     | Cuisse             |
Bandana            |Fusskampf          | Light Greave       |
Bandana            |Poleyn             | Ring Leggings      |
Bandana            |Jambeau            | Chain Leggings     |
Bandana            |Missaglia          | Fusskampf          |
Bandana            |Plate Leggings     | Poleyn             |
Bandana            |Fluted Leggings    | Jambeau            |
Bandana            |Hoplite Leggings   | Missaglia          |
Bandana            |Jazeraint Leggings | Plate Leggings     |
Bandana            |Dread Leggings     | Fluted Leggings    |
Bear Mask          |Sandals            | Bear Mask          |
Bear Mask          |Boots              | Boots              |
Bear Mask          |Long Boots         | Long Boots         |
Bear Mask          |Cuisse             | Cuisse             |
Bear Mask          |Light Greave       | Cuisse             |
Bear Mask          |Ring Leggings      | Cuisse             |
Bear Mask          |Chain Leggings     | Cuisse             |
Bear Mask          |Fusskampf          | Light Greave       |
Bear Mask          |Poleyn             | Ring Leggings      |
Bear Mask          |Jambeau            | Chain Leggings     |
Bear Mask          |Missaglia          | Fusskampf          |
Bear Mask          |Plate Leggings     | Poleyn             |
Bear Mask          |Fluted Leggings    | Jambeau            |
Bear Mask          |Hoplite Leggings   | Missaglia          |
Bear Mask          |Jazeraint Leggings | Plate Leggings     |
Bear Mask          |Dread Leggings     | Fluted Leggings    |
Wizard Hat         |Sandals            | Wizard Hat         |
Wizard Hat         |Boots              | Wizard Hat         |
Wizard Hat         |Long Boots         | Long Boots         |
Wizard Hat         |Cuisse             | Cuisse             |
Wizard Hat         |Light Greave       | Cuisse             |
Wizard Hat         |Ring Leggings      | Cuisse             |
Wizard Hat         |Chain Leggings     | Cuisse             |
Wizard Hat         |Fusskampf          | Light Greave       |
Wizard Hat         |Poleyn             | Ring Leggings      |
Wizard Hat         |Jambeau            | Chain Leggings     |
Wizard Hat         |Missaglia          | Fusskampf          |
Wizard Hat         |Plate Leggings     | Poleyn             |
Wizard Hat         |Fluted Leggings    | Jambeau            |
Wizard Hat         |Hoplite Leggings   | Missaglia          |
Wizard Hat         |Jazeraint Leggings | Plate Leggings     |
Wizard Hat         |Dread Leggings     | Fluted Leggings    |
Bone Helm          |Sandals            | Bone Helm          |
Bone Helm          |Boots              | Bone Helm          |
Bone Helm          |Long Boots         | Bone Helm          |
Bone Helm          |Cuisse             | Knuckles           |
Bone Helm          |Light Greave       | Cuisse             |
Bone Helm          |Ring Leggings      | Cuisse             |
Bone Helm          |Chain Leggings     | Cuisse             |
Bone Helm          |Fusskampf          | Light Greave       |
Bone Helm          |Poleyn             | Ring Leggings      |
Bone Helm          |Jambeau            | Chain Leggings     |
Bone Helm          |Missaglia          | Fusskampf          |
Bone Helm          |Plate Leggings     | Poleyn             |
Bone Helm          |Fluted Leggings    | Jambeau            |
Bone Helm          |Hoplite Leggings   | Missaglia          |
Bone Helm          |Jazeraint Leggings | Plate Leggings     |
Bone Helm          |Dread Leggings     | Fluted Leggings    |
Chain Coif         |Sandals            | Bone Helm          |
Chain Coif         |Boots              | Bone Helm          |
Chain Coif         |Long Boots         | Bone Helm          |
Chain Coif         |Cuisse             | Bone Helm          |
Chain Coif         |Light Greave       | Ring Sleeve        |
Chain Coif         |Ring Leggings      | Light Greave       |
Chain Coif         |Chain Leggings     | Light Greave       |
Chain Coif         |Fusskampf          | Light Greave       |
Chain Coif         |Poleyn             | Light Greave       |
Chain Coif         |Jambeau            | Ring Leggings      |
Chain Coif         |Missaglia          | Chain Leggings     |
Chain Coif         |Plate Leggings     | Fusskampf          |
Chain Coif         |Fluted Leggings    | Poleyn             |
Chain Coif         |Hoplite Leggings   | Jambeau            |
Chain Coif         |Jazeraint Leggings | Missaglia          |
Chain Coif         |Dread Leggings     | Plate Leggings     |
Spangenhelm        |Sandals            | Bone Helm          |
Spangenhelm        |Boots              | Bone Helm          |
Spangenhelm        |Long Boots         | Bone Helm          |
Spangenhelm        |Cuisse             | Bone Helm          |
Spangenhelm        |Light Greave       | Chain Coif         |
Spangenhelm        |Ring Leggings      | Chain Sleeve       |
Spangenhelm        |Chain Leggings     | Ring Leggings      |
Spangenhelm        |Fusskampf          | Ring Leggings      |
Spangenhelm        |Poleyn             | Ring Leggings      |
Spangenhelm        |Jambeau            | Ring Leggings      |
Spangenhelm        |Missaglia          | Ring Leggings      |
Spangenhelm        |Plate Leggings     | Chain Leggings     |
Spangenhelm        |Fluted Leggings    | Fusskampf          |
Spangenhelm        |Hoplite Leggings   | Poleyn             |
Spangenhelm        |Jazeraint Leggings | Jambeau            |
Spangenhelm        |Dread Leggings     | Missaglia          |
Cabasset           |Sandals            | Bone Helm          |
Cabasset           |Boots              | Bone Helm          |
Cabasset           |Long Boots         | Bone Helm          |
Cabasset           |Cuisse             | Bone Helm          |
Cabasset           |Light Greave       | Chain Coif         |
Cabasset           |Ring Leggings      | Spangenhelm        |
Cabasset           |Chain Leggings     | Gauntlet           |
Cabasset           |Fusskampf          | Chain Leggings     |
Cabasset           |Poleyn             | Chain Leggings     |
Cabasset           |Jambeau            | Chain Leggings     |
Cabasset           |Missaglia          | Chain Leggings     |
Cabasset           |Plate Leggings     | Chain Leggings     |
Cabasset           |Fluted Leggings    | Chain Leggings     |
Cabasset           |Hoplite Leggings   | Fusskampf          |
Cabasset           |Jazeraint Leggings | Poleyn             |
Cabasset           |Dread Leggings     | Jambeau            |
Sallet             |Sandals            | Chain Coif         |
Sallet             |Boots              | Chain Coif         |
Sallet             |Long Boots         | Chain Coif         |
Sallet             |Cuisse             | Chain Coif         |
Sallet             |Light Greave       | Chain Coif         |
Sallet             |Ring Leggings      | Spangenhelm        |
Sallet             |Chain Leggings     | Cabasset           |
Sallet             |Fusskampf          | Vambrace           |
Sallet             |Poleyn             | Fusskampf          |
Sallet             |Jambeau            | Fusskampf          |
Sallet             |Missaglia          | Fusskampf          |
Sallet             |Plate Leggings     | Fusskampf          |
Sallet             |Fluted Leggings    | Fusskampf          |
Sallet             |Hoplite Leggings   | Fusskampf          |
Sallet             |Jazeraint Leggings | Fusskampf          |
Sallet             |Dread Leggings     | Poleyn             |
Barbut             |Sandals            | Spangenhelm        |
Barbut             |Boots              | Spangenhelm        |
Barbut             |Long Boots         | Spangenhelm        |
Barbut             |Cuisse             | Spangenhelm        |
Barbut             |Light Greave       | Chain Coif         |
Barbut             |Ring Leggings      | Spangenhelm        |
Barbut             |Chain Leggings     | Cabasset           |
Barbut             |Fusskampf          | Sallet             |
Barbut             |Poleyn             | Plate Glove        |
Barbut             |Jambeau            | Poleyn             |
Barbut             |Missaglia          | Poleyn             |
Barbut             |Plate Leggings     | Poleyn             |
Barbut             |Fluted Leggings    | Poleyn             |
Barbut             |Hoplite Leggings   | Poleyn             |
Barbut             |Jazeraint Leggings | Poleyn             |
Barbut             |Dread Leggings     | Poleyn             |
Basinet            |Sandals            | Cabasset           |
Basinet            |Boots              | Cabasset           |
Basinet            |Long Boots         | Cabasset           |
Basinet            |Cuisse             | Cabasset           |
Basinet            |Light Greave       | Spangenhelm        | Chain Coif
Basinet            |Ring Leggings      | Spangenhelm        |
Basinet            |Chain Leggings     | Cabasset           |
Basinet            |Fusskampf          | Sallet             |
Basinet            |Poleyn             | Barbut             |
Basinet            |Jambeau            | Rondanche          |
Basinet            |Missaglia          | Jambeau            |
Basinet            |Plate Leggings     | Jambeau            |
Basinet            |Fluted Leggings    | Jambeau            |
Basinet            |Hoplite Leggings   | Jambeau            |
Basinet            |Jazeraint Leggings | Jambeau            |
Basinet            |Dread Leggings     | Jambeau            |
Armet              |Sandals            | Sallet             |
Armet              |Boots              | Sallet             |
Armet              |Long Boots         | Sallet             |
Armet              |Cuisse             | Sallet             |
Armet              |Light Greave       | Cabasset           | Chain Coif
Armet              |Ring Leggings      | Spangenhelm        |
Armet              |Chain Leggings     | Cabasset           |
Armet              |Fusskampf          | Sallet             |
Armet              |Poleyn             | Barbut             |
Armet              |Jambeau            | Basinet            |
Armet              |Missaglia          | Tilt Glove         |
