# weapon-combos.txt
#
# Vagrant Story weapon combination tables
#
# Lines beginning with "--" identify item types
#
# It is possible for a different combination to result from swapped items.
# For example usually A + B = C but sometimes B + A = D
#
# Taken from Combination Guide
# Author:  Jay Tilton
# Email:  tiltonj@erols.com
# Copyright Jay Tilton, 2000

--Dagger + Dagger
# First Slot      |Second Slot       |Result             |(if different)     
# ================ ==================  =================== ===================
Battle Knife      |Battle Knife      | Battle Knife      |
Dirk              |Rapier            | Broad Sword       |
Dirk              |Short Sword       | Rapier            |
Dirk              |Firangi           | Rapier            |
Dirk              |Shamshir          | Rapier            |
Dirk              |Falchion          | Rapier            |
Dirk              |Shotel            | Rapier            |
Dirk              |Khora             | Rapier            |
Dirk              |Khopesh           | Short Sword       |
Dirk              |Wakizashi         | Firangi           |
Dirk              |Rhomphaia         | Dirk              |
Throwing Knife    |Spatha            | Battle Knife      |
Throwing Knife    |Scimitar          | Scramasax         |
Throwing Knife    |Rapier            | Dirk              |
Throwing Knife    |Short Sword       | Norse Sword       |
Throwing Knife    |Firangi           | Goblin Club       |
Throwing Knife    |Shamshir          | Short Sword       |
Throwing Knife    |Falchion          | Short Sword       |
Throwing Knife    |Shotel            | Short Sword       |
Throwing Knife    |Khora             | Short Sword       |
Throwing Knife    |Khopesh           | Short Sword       |
Throwing Knife    |Wakizashi         | Short Sword       |
Throwing Knife    |Rhomphaia         | Throwing Knife    |
Kudi              |Spatha            | Scramasax         |
Kudi              |Scimitar          | Scramasax         |
Kudi              |Rapier            | Dirk              |
Kudi              |Short Sword       | Throwing Knife    |
Kudi              |Firangi           | Katana            |
Kudi              |Shamshir          | Spiked Club       |
Kudi              |Falchion          | Firangi           |
Kudi              |Shotel            | Firangi           |
Kudi              |Khora             | Firangi           |
Kudi              |Khopesh           | Firangi           |
Kudi              |Wakizashi         | Firangi           |
Kudi              |Rhomphaia         | Kudi              |
Cinquedea         |Spatha            | Dirk              |
Cinquedea         |Scimitar          | Scramasax         |
Cinquedea         |Rapier            | Dirk              |
Cinquedea         |Short Sword       | Throwing Knife    |
Cinquedea         |Firangi           | Hand Axe          |
Cinquedea         |Shamshir          | Executioner       |
Cinquedea         |Falchion          | Ball Mace         |
Cinquedea         |Shotel            | Shamshir          |
Cinquedea         |Khora             | Shamshir          |
Cinquedea         |Khopesh           | Shamshir          |
Cinquedea         |Wakizashi         | Shamshir          |
Cinquedea         |Rhomphaia         | Cinquedea         |
Kris              |Spatha            | Throwing Knife    |
Kris              |Scimitar          | Dirk              |
Kris              |Rapier            | Dirk              |
Kris              |Short Sword       | Throwing Knife    |
Kris              |Firangi           | Kudi              |
Kris              |Shamshir          | Battle Axe        |
Kris              |Falchion          | Claymore          |
Kris              |Shotel            | Footman's Mace 1H |
Kris              |Khora             | Falchion          |
Kris              |Khopesh           | Falchion          |
Kris              |Wakizashi         | Falchion          |
Kris              |Rhomphaia         | Kris              |
Hatchet           |Spatha            | Kudi              |
Hatchet           |Scimitar          | Throwing Knife    |
Hatchet           |Rapier            | Dirk              |
Hatchet           |Short Sword       | Throwing Knife    |
Hatchet           |Firangi           | Kudi              |
Hatchet           |Shamshir          | Cinquedea         |
Hatchet           |Falchion          | Francisca         |
Hatchet           |Shotel            | Schiavona         |
Hatchet           |Khora             | Morning Star      |
Hatchet           |Khopesh           | Shotel            |
Hatchet           |Wakizashi         | Shotel            |
Hatchet           |Rhomphaia         | Hatchet           |
Khukuri           |Spatha            | Cinquedea         |
Khukuri           |Scimitar          | Kudi              |
Khukuri           |Rapier            | Throwing Knife    |
Khukuri           |Short Sword       | Throwing Knife    |
Khukuri           |Firangi           | Kudi              |
Khukuri           |Shamshir          | Cinquedea         |
Khukuri           |Falchion          | Kris              |
Khukuri           |Shotel            | Tabarzin          |
Khukuri           |Khora             | Bastard Sword     |
Khukuri           |Khopesh           | War Hammer        |
Khukuri           |Wakizashi         | Khora             |
Khukuri           |Rhomphaia         | Khukuri           |
Baselard          |Spatha            | Kris              |
Baselard          |Scimitar          | Cinquedea         |
Baselard          |Rapier            | Kudi              |
Baselard          |Short Sword       | Throwing Knife    |
Baselard          |Firangi           | Kudi              |
Baselard          |Shamshir          | Cinquedea         |
Baselard          |Falchion          | Kris              |
Baselard          |Shotel            | Hatchet           |
Baselard          |Khora             | Chamkaq           |
Baselard          |Khopesh           | Nodachi           |
Baselard          |Wakizashi         | Bec de Corbin     |
Baselard          |Rhomphaia         | Baselard          |
Stiletto          |Spatha            | Hatchet           |
Stiletto          |Scimitar          | Kris              |
Stiletto          |Rapier            | Cinquedea         |
Stiletto          |Short Sword       | Kudi              |
Stiletto          |Firangi           | Kudi              |
Stiletto          |Shamshir          | Cinquedea         |
Stiletto          |Falchion          | Kris              |
Stiletto          |Shotel            | Hatchet           |
Stiletto          |Khora             | Khukuri           |
Stiletto          |Khopesh           | Tabar             |
Stiletto          |Wakizashi         | Rune Blade        |
Stiletto          |Rhomphaia         | Stiletto          |
Jamadhar          |Spatha            | Khukuri           |
Jamadhar          |Scimitar          | Hatchet           |
Jamadhar          |Rapier            | Kris              |
Jamadhar          |Short Sword       | Cinquedea         |
Jamadhar          |Firangi           | Kudi              |
Jamadhar          |Shamshir          | Cinquedea         |
Jamadhar          |Falchion          | Kris              |
Jamadhar          |Shotel            | Hatchet           |
Jamadhar          |Khora             | Khukuri           |
Jamadhar          |Khopesh           | Baselard          |
Jamadhar          |Wakizashi         | Bullova           |
Jamadhar          |Rhomphaia         | Jamadhar          |

--Dagger + Great Sword
# First Slot      |Second Slot       |Result             |(if different)     
# ================ ==================  =================== ===================
Battle Knife      |Broad Sword       | Broad Sword       |
Battle Knife      |Norse Sword       | Broad Sword       |
Battle Knife      |Katana            | Broad Sword       |
Battle Knife      |Executioner       | Norse Sword       |
Battle Knife      |Claymore          | Katana            |
Battle Knife      |Schiavona         | Executioner       |
Battle Knife      |Bastard Sword     | Claymore          |
Battle Knife      |Nodachi           | Schiavona         |
Battle Knife      |Rune Blade        | Bastard Sword     |
Battle Knife      |Holy Win          | Battle Knife      |
Scramasax         |Broad Sword       | Battle Knife      |
Scramasax         |Norse Sword       | Hand Axe          |
Scramasax         |Katana            | Norse Sword       |
Scramasax         |Executioner       | Norse Sword       |
Scramasax         |Claymore          | Norse Sword       |
Scramasax         |Schiavona         | Katana            |
Scramasax         |Bastard Sword     | Executioner       |
Scramasax         |Nodachi           | Claymore          |
Scramasax         |Rune Blade        | Schiavona         |
Scramasax         |Holy Win          | Scramasax         |
Dirk              |Broad Sword       | Battle Knife      |
Dirk              |Norse Sword       | Battle Knife      |
Dirk              |Katana            | Battle Axe        |
Dirk              |Executioner       | Katana            |
Dirk              |Claymore          | Katana            |
Dirk              |Schiavona         | Katana            |
Dirk              |Bastard Sword     | Katana            |
Dirk              |Nodachi           | Executioner       |
Dirk              |Rune Blade        | Claymore          |
Dirk              |Holy Win          | Dirk              |
Throwing Knife    |Broad Sword       | Battle Knife      |
Throwing Knife    |Norse Sword       | Scramasax         |
Throwing Knife    |Katana            | Goblin Club       |
Throwing Knife    |Executioner       | Francisca         |
Throwing Knife    |Claymore          | Guisarme          |
Throwing Knife    |Schiavona         | Executioner       |
Throwing Knife    |Bastard Sword     | Executioner       |
Throwing Knife    |Nodachi           | Executioner       |
Throwing Knife    |Rune Blade        | Executioner       |
Throwing Knife    |Holy Win          | Throwing Knife    |
Kudi              |Broad Sword       | Scramasax         |
Kudi              |Norse Sword       | Scramasax         |
Kudi              |Katana            | Dirk              |
Kudi              |Executioner       | Spiked Club       |
Kudi              |Claymore          | Tabarzin          |
Kudi              |Schiavona         | Large Crescent    |
Kudi              |Bastard Sword     | Claymore          |
Kudi              |Nodachi           | Claymore          |
Kudi              |Rune Blade        | Claymore          |
Kudi              |Holy Win          | Kudi              |
Cinquedea         |Broad Sword       | Dirk              |
Cinquedea         |Norse Sword       | Scramasax         |
Cinquedea         |Katana            | Dirk              |
Cinquedea         |Executioner       | Throwing Knife    |
Cinquedea         |Claymore          | Ball Mace         |
Cinquedea         |Schiavona         | Chamkaq           |
Cinquedea         |Bastard Sword     | Sabre Halberd     |
Cinquedea         |Nodachi           | Schiavona         |
Cinquedea         |Rune Blade        | Schiavona         |
Cinquedea         |Holy Win          | Cinquedea         |
Kris              |Broad Sword       | Throwing Knife    |
Kris              |Norse Sword       | Dirk              |
Kris              |Katana            | Dirk              |
Kris              |Executioner       | Throwing Knife    |
Kris              |Claymore          | Kudi              |
Kris              |Schiavona         | Footman's Mace 1H |
Kris              |Bastard Sword     | Tabar             |
Kris              |Nodachi           | Balbriggan        |
Kris              |Rune Blade        | Bastard Sword     |
Kris              |Holy Win          | Kris              |
Hatchet           |Broad Sword       | Kudi              |
Hatchet           |Norse Sword       | Throwing Knife    |
Hatchet           |Katana            | Dirk              |
Hatchet           |Executioner       | Throwing Knife    |
Hatchet           |Claymore          | Kudi              |
Hatchet           |Schiavona         | Cinquedea         |
Hatchet           |Bastard Sword     | Morning Star      |
Hatchet           |Nodachi           | Bullova           |
Hatchet           |Rune Blade        | Double Blade      |
Hatchet           |Holy Win          | Hatchet           |
Khukuri           |Broad Sword       | Cinquedea         |
Khukuri           |Norse Sword       | Kudi              |
Khukuri           |Katana            | Throwing Knife    |
Khukuri           |Executioner       | Throwing Knife    |
Khukuri           |Claymore          | Kudi              |
Khukuri           |Schiavona         | Cinquedea         |
Khukuri           |Bastard Sword     | Kris              |
Khukuri           |Nodachi           | War Hammer        |
Khukuri           |Rune Blade        | Crescent          |
Khukuri           |Holy Win          | Khukuri           |
Baselard          |Broad Sword       | Kris              |
Baselard          |Norse Sword       | Cinquedea         |
Baselard          |Katana            | Kudi              |
Baselard          |Executioner       | Throwing Knife    |
Baselard          |Claymore          | Kudi              |
Baselard          |Schiavona         | Cinquedea         |
Baselard          |Bastard Sword     | Kris              |
Baselard          |Nodachi           | Hatchet           |
Baselard          |Rune Blade        | Bec de Corbin     |
Baselard          |Holy Win          | Baselard          |
Stiletto          |Broad Sword       | Hatchet           |
Stiletto          |Norse Sword       | Kris              |
Stiletto          |Katana            | Cinquedea         |
Stiletto          |Executioner       | Kudi              |
Stiletto          |Claymore          | Kudi              |
Stiletto          |Schiavona         | Cinquedea         |
Stiletto          |Bastard Sword     | Kris              |
Stiletto          |Nodachi           | Hatchet           |
Stiletto          |Rune Blade        | Khukuri           |
Stiletto          |Holy Win          | Stiletto          |
Jamadhar          |Broad Sword       | Khukuri           |
Jamadhar          |Norse Sword       | Hatchet           |
Jamadhar          |Katana            | Kris              |
Jamadhar          |Executioner       | Cinquedea         |
Jamadhar          |Claymore          | Kudi              |
Jamadhar          |Schiavona         | Cinquedea         |
Jamadhar          |Bastard Sword     | Kris              |
Jamadhar          |Nodachi           | Hatchet           |
Jamadhar          |Rune Blade        | Khukuri           |
Jamadhar          |Holy Win          | Jamadhar          |

--Dagger + Axe
# First Slot      |Second Slot       |Result             |(if different)     
# ================ ==================  =================== ===================
Battle Knife      |Hand Axe          | Hand Axe          |
Battle Knife      |Battle Axe        | Hand Axe          |
Battle Knife      |Francisca         | Battle Axe        |
Battle Knife      |Tabarzin          | Francisca         |
Battle Knife      |Chamkaq           | Tabarzin          |
Battle Knife      |Tabar             | Chamkaq           |
Battle Knife      |Bullova           | Tabar             |
Battle Knife      |Crescent          | Bullova           |
Scramasax         |Hand Axe          | Goblin Club       |
Scramasax         |Battle Axe        | Battle Axe        |
Scramasax         |Francisca         | Battle Axe        |
Scramasax         |Tabarzin          | Battle Axe        |
Scramasax         |Chamkaq           | Francisca         |
Scramasax         |Tabar             | Tabarzin          |
Scramasax         |Bullova           | Chamkaq           |
Scramasax         |Crescent          | Tabar             |
Dirk              |Hand Axe          | Battle Knife      |
Dirk              |Battle Axe        | Spiked Club       |
Dirk              |Francisca         | Francisca         |
Dirk              |Tabarzin          | Francisca         |
Dirk              |Chamkaq           | Francisca         |
Dirk              |Tabar             | Francisca         |
Dirk              |Bullova           | Tabarzin          |
Dirk              |Crescent          | Chamkaq           |
Throwing Knife    |Hand Axe          | Battle Knife      |
Throwing Knife    |Battle Axe        | Scramasax         |
Throwing Knife    |Francisca         | Ball Mace         |
Throwing Knife    |Tabarzin          | Wizard Staff      |
Throwing Knife    |Chamkaq           | Tabarzin          |
Throwing Knife    |Tabar             | Tabarzin          |
Throwing Knife    |Bullova           | Tabarzin          |
Throwing Knife    |Crescent          | Tabarzin          |
Kudi              |Hand Axe          | Scramasax         |
Kudi              |Battle Axe        | Scramasax         |
Kudi              |Francisca         | Dirk              |
Kudi              |Tabarzin          | Footman's Mace 1H |
Kudi              |Chamkaq           | Clergy Rod        |
Kudi              |Tabar             | Chamkaq           |
Kudi              |Bullova           | Chamkaq           |
Kudi              |Crescent          | Chamkaq           |
Cinquedea         |Hand Axe          | Dirk              |
Cinquedea         |Battle Axe        | Scramasax         |
Cinquedea         |Francisca         | Dirk              |
Cinquedea         |Tabarzin          | Guisarme          |
Cinquedea         |Chamkaq           | Morning Star      |
Cinquedea         |Tabar             | Summoner Baton    |
Cinquedea         |Bullova           | Tabar             |
Cinquedea         |Crescent          | Tabar             |
Kris              |Hand Axe          | Throwing Knife    |
Kris              |Battle Axe        | Dirk              |
Kris              |Francisca         | Dirk              |
Kris              |Tabarzin          | Throwing Knife    |
Kris              |Chamkaq           | Large Crescent    |
Kris              |Tabar             | War Hammer        |
Kris              |Bullova           | Shamanic Staff    |
Kris              |Crescent          | Bullova           |
Hatchet           |Hand Axe          | Kudi              |
Hatchet           |Battle Axe        | Throwing Knife    |
Hatchet           |Francisca         | Dirk              |
Hatchet           |Tabarzin          | Throwing Knife    |
Hatchet           |Chamkaq           | Kudi              |
Hatchet           |Tabar             | Sabre Halberd     |
Hatchet           |Bullova           | Bec de Corbin     |
Hatchet           |Crescent          | Bishop's Crosier  |
Khukuri           |Hand Axe          | Cinquedea         |
Khukuri           |Battle Axe        | Kudi              |
Khukuri           |Francisca         | Throwing Knife    |
Khukuri           |Tabarzin          | Throwing Knife    |
Khukuri           |Chamkaq           | Kudi              |
Khukuri           |Tabar             | Cinquedea         |
Khukuri           |Bullova           | Balbriggan        |
Khukuri           |Crescent          | War Maul          |
Baselard          |Hand Axe          | Kris              |
Baselard          |Battle Axe        | Cinquedea         |
Baselard          |Francisca         | Kudi              |
Baselard          |Tabarzin          | Throwing Knife    |
Baselard          |Chamkaq           | Kudi              |
Baselard          |Tabar             | Cinquedea         |
Baselard          |Bullova           | Kris              |
Baselard          |Crescent          | Double Blade      |
Stiletto          |Hand Axe          | Hatchet           |
Stiletto          |Battle Axe        | Kris              |
Stiletto          |Francisca         | Cinquedea         |
Stiletto          |Tabarzin          | Kudi              |
Stiletto          |Chamkaq           | Kudi              |
Stiletto          |Tabar             | Cinquedea         |
Stiletto          |Bullova           | Kris              |
Stiletto          |Crescent          | Hatchet           |
Jamadhar          |Hand Axe          | Khukuri           |
Jamadhar          |Battle Axe        | Hatchet           |
Jamadhar          |Francisca         | Kris              |
Jamadhar          |Tabarzin          | Cinquedea         |
Jamadhar          |Chamkaq           | Kudi              |
Jamadhar          |Tabar             | Cinquedea         |
Jamadhar          |Bullova           | Kris              |
Jamadhar          |Crescent          | Hatchet           |

--Dagger + Mace
# First Slot      |Second Slot       |Result             |(if different)     
# ================ ==================  =================== ===================
Battle Knife      |Goblin Club       | Goblin Club       |
Battle Knife      |Spiked Club       | Goblin Club       |
Battle Knife      |Ball Mace         | Spiked Club       |
Battle Knife      |Footman's Mace 1H | Ball Mace         |
Battle Knife      |Morning Star      | Footman's Mace 1H |
Battle Knife      |War Hammer        | Morning Star      |
Battle Knife      |Bec de Corbin     | War Hammer        |
Battle Knife      |War Maul          | Bec de Corbin     |
Scramasax         |Goblin Club       | Battle Knife      |
Scramasax         |Spiked Club       | Spiked Club       |
Scramasax         |Ball Mace         | Spiked Club       |
Scramasax         |Footman's Mace 1H | Spiked Club       |
Scramasax         |Morning Star      | Ball Mace         |
Scramasax         |War Hammer        | Footman's Mace 1H |
Scramasax         |Bec de Corbin     | Morning Star      |
Scramasax         |War Maul          | War Hammer        |
Dirk              |Goblin Club       | Battle Knife      |
Dirk              |Spiked Club       | Scramasax         |
Dirk              |Ball Mace         | Ball Mace         |
Dirk              |Footman's Mace 1H | Ball Mace         |
Dirk              |Morning Star      | Ball Mace         |
Dirk              |War Hammer        | Ball Mace         |
Dirk              |Bec de Corbin     | Footman's Mace 1H |
Dirk              |War Maul          | Morning Star      |
Throwing Knife    |Goblin Club       | Battle Knife      |
Throwing Knife    |Spiked Club       | Scramasax         |
Throwing Knife    |Ball Mace         | Guisarme          |
Throwing Knife    |Footman's Mace 1H | Sabre Mace        |
Throwing Knife    |Morning Star      | Footman's Mace 1H |
Throwing Knife    |War Hammer        | Footman's Mace 1H |
Throwing Knife    |Bec de Corbin     | Footman's Mace 1H |
Throwing Knife    |War Maul          | Footman's Mace 1H |
Kudi              |Goblin Club       | Scramasax         |
Kudi              |Spiked Club       | Scramasax         |
Kudi              |Ball Mace         | Dirk              |
Kudi              |Footman's Mace 1H | Large Crescent    |
Kudi              |Morning Star      | Footman's Mace 2H |
Kudi              |War Hammer        | Morning Star      |
Kudi              |Bec de Corbin     | Morning Star      |
Kudi              |War Maul          | Morning Star      |
Cinquedea         |Goblin Club       | Dirk              |
Cinquedea         |Spiked Club       | Scramasax         |
Cinquedea         |Ball Mace         | Dirk              |
Cinquedea         |Footman's Mace 1H | Wizard Staff      |
Cinquedea         |Morning Star      | Sabre Halberd     |
Cinquedea         |War Hammer        | Gloomwing         |
Cinquedea         |Bec de Corbin     | War Hammer        |
Cinquedea         |War Maul          | War Hammer        |
Kris              |Goblin Club       | Throwing Knife    |
Kris              |Spiked Club       | Dirk              |
Kris              |Ball Mace         | Dirk              |
Kris              |Footman's Mace 1H | Throwing Knife    |
Kris              |Morning Star      | Clergy Rod        |
Kris              |War Hammer        | Balbriggan        |
Kris              |Bec de Corbin     | Mjolnir           |
Kris              |War Maul          | Bec de Corbin     |
Hatchet           |Goblin Club       | Kudi              |
Hatchet           |Spiked Club       | Throwing Knife    |
Hatchet           |Ball Mace         | Dirk              |
Hatchet           |Footman's Mace 1H | Throwing Knife    |
Hatchet           |Morning Star      | Kudi              |
Hatchet           |War Hammer        | Summoner Baton    |
Hatchet           |Bec de Corbin     | Double Blade      |
Hatchet           |War Maul          | Griever           |
Khukuri           |Goblin Club       | Cinquedea         |
Khukuri           |Spiked Club       | Kudi              |
Khukuri           |Ball Mace         | Throwing Knife    |
Khukuri           |Footman's Mace 1H | Throwing Knife    |
Khukuri           |Morning Star      | Kudi              |
Khukuri           |War Hammer        | Cinquedea         |
Khukuri           |Bec de Corbin     | Shamanic Staff    |
Khukuri           |War Maul          | Halberd           |
Baselard          |Goblin Club       | Kris              |
Baselard          |Spiked Club       | Cinquedea         |
Baselard          |Ball Mace         | Kudi              |
Baselard          |Footman's Mace 1H | Throwing Knife    |
Baselard          |Morning Star      | Kudi              |
Baselard          |War Hammer        | Cinquedea         |
Baselard          |Bec de Corbin     | Kris              |
Baselard          |War Maul          | Bishop's Crosier  |
Stiletto          |Goblin Club       | Hatchet           |
Stiletto          |Spiked Club       | Kris              |
Stiletto          |Ball Mace         | Cinquedea         |
Stiletto          |Footman's Mace 1H | Kudi              |
Stiletto          |Morning Star      | Kudi              |
Stiletto          |War Hammer        | Cinquedea         |
Stiletto          |Bec de Corbin     | Kris              |
Stiletto          |War Maul          | Hatchet           |
Jamadhar          |Goblin Club       | Khukuri           |
Jamadhar          |Spiked Club       | Hatchet           |
Jamadhar          |Ball Mace         | Kris              |
Jamadhar          |Footman's Mace 1H | Cinquedea         |
Jamadhar          |Morning Star      | Kudi              |
Jamadhar          |War Hammer        | Cinquedea         |
Jamadhar          |Bec de Corbin     | Kris              |
Jamadhar          |War Maul          | Hatchet           |

--Dagger + Great Axe
# First Slot      |Second Slot       |Result             |(if different)     
# ================ ==================  =================== ===================
Battle Knife      |Guisarme          | Guisarme          |
Battle Knife      |Large Crescent    | Guisarme          |
Battle Knife      |Sabre Halberd     | Large Crescent    |
Battle Knife      |Balbriggan        | Sabre Halberd     |
Battle Knife      |Double Blade      | Balbriggan        |
Battle Knife      |Halberd           | Double Blade      |
Scramasax         |Guisarme          | Wizard Staff      |
Scramasax         |Large Crescent    | Large Crescent    |
Scramasax         |Sabre Halberd     | Large Crescent    |
Scramasax         |Balbriggan        | Sabre Halberd     |
Scramasax         |Double Blade      | Balbriggan        |
Scramasax         |Halberd           | Double Blade      |
Dirk              |Guisarme          | Sabre Mace        |
Dirk              |Large Crescent    | Spear             |
Dirk              |Sabre Halberd     | Large Crescent    |
Dirk              |Balbriggan        | Large Crescent    |
Dirk              |Double Blade      | Sabre Halberd     |
Dirk              |Halberd           | Balbriggan        |
Throwing Knife    |Guisarme          | Battle Knife      |
Throwing Knife    |Large Crescent    | Clergy Rod        |
Throwing Knife    |Sabre Halberd     | Sabre Halberd     |
Throwing Knife    |Balbriggan        | Sabre Halberd     |
Throwing Knife    |Double Blade      | Sabre Halberd     |
Throwing Knife    |Halberd           | Balbriggan        |
Kudi              |Guisarme          | Scramasax         |
Kudi              |Large Crescent    | Footman's Mace 2H |
Kudi              |Sabre Halberd     | Glaive            |
Kudi              |Balbriggan        | Sabre Halberd     |
Kudi              |Double Blade      | Sabre Halberd     |
Kudi              |Halberd           | Sabre Halberd     |
Cinquedea         |Guisarme          | Dirk              |
Cinquedea         |Large Crescent    | Scramasax         |
Cinquedea         |Sabre Halberd     | Summoner Baton    |
Cinquedea         |Balbriggan        | Balbriggan        |
Cinquedea         |Double Blade      | Balbriggan        |
Cinquedea         |Halberd           | Balbriggan        |
Kris              |Guisarme          | Throwing Knife    |
Kris              |Large Crescent    | Dirk              |
Kris              |Sabre Halberd     | Gloomwing         |
Kris              |Balbriggan        | Scorpion          |
Kris              |Double Blade      | Balbriggan        |
Kris              |Halberd           | Balbriggan        |
Hatchet           |Guisarme          | Kudi              |
Hatchet           |Large Crescent    | Throwing Knife    |
Hatchet           |Sabre Halberd     | Dirk              |
Hatchet           |Balbriggan        | Shamanic Staff    |
Hatchet           |Double Blade      | Double Blade      |
Hatchet           |Halberd           | Double Blade      |
Khukuri           |Guisarme          | Cinquedea         |
Khukuri           |Large Crescent    | Kudi              |
Khukuri           |Sabre Halberd     | Throwing Knife    |
Khukuri           |Balbriggan        | Mjolnir           |
Khukuri           |Double Blade      | Corcesca          |
Khukuri           |Halberd           | Double Blade      |
Baselard          |Guisarme          | Kris              |
Baselard          |Large Crescent    | Cinquedea         |
Baselard          |Sabre Halberd     | Kudi              |
Baselard          |Balbriggan        | Throwing Knife    |
